filename,act_name,section_number,title,word_count
crpc_section_1.txt,"Code of Criminal Procedure, 1898",1,Short title,5
crpc_section_2.txt,"Code of Criminal Procedure, 1898",2,[Repealed,2
crpc_section_3.txt,"Code of Criminal Procedure, 1898",3,References to Code of Criminal Procedure and other repealed enactments,15
crpc_section_4.txt,"Code of Criminal Procedure, 1898",4,Definitions,16
crpc_section_5.txt,"Code of Criminal Procedure, 1898",5,Trial of offences under Penal Code,37
crpc_section_6.txt,"Code of Criminal Procedure, 1898",6,Classes of Criminal Courts,7
crpc_section_7.txt,"Code of Criminal Procedure, 1898",7,Sessions divisions and districts,18
crpc_section_8.txt,"Code of Criminal Procedure, 1898",8,Power to divide districts into sub­divisions,13
crpc_section_9.txt,"Code of Criminal Procedure, 1898",9,Court of Session,4
crpc_section_10.txt,"Code of Criminal Procedure, 1898",10,District Magistrate,3
crpc_section_11.txt,"Code of Criminal Procedure, 1898",11,Officers temporarily succeeding to vacancies in office of District Magistrate,11
crpc_section_12.txt,"Code of Criminal Procedure, 1898",12,Subordinate Magistrates,8
crpc_section_13.txt,"Code of Criminal Procedure, 1898",13,Power to put Magistrate in charge of sub­division,22
crpc_section_15.txt,"Code of Criminal Procedure, 1898",15,Benches of Magistrates,13
crpc_section_16.txt,"Code of Criminal Procedure, 1898",16,Power to frame rules for guidance of Benches,9
crpc_section_17.txt,"Code of Criminal Procedure, 1898",17,Subordination of Magistrates and Benches to District Magistrate; to sub­,31
crpc_section_22.txt,"Code of Criminal Procedure, 1898",22,Appointment of Justices of the peace,7
crpc_section_22A.txt,"Code of Criminal Procedure, 1898",22A,Powers of Justices of the peace,7
crpc_section_22B.txt,"Code of Criminal Procedure, 1898",22B,Duties of Justices of the peace,9
crpc_section_25.txt,"Code of Criminal Procedure, 1898",25,Ex­officio Justices of the peace,23
crpc_section_28.txt,"Code of Criminal Procedure, 1898",28,Offences under Penal Code,5
crpc_section_29.txt,"Code of Criminal Procedure, 1898",29,Offences under other laws,5
crpc_section_29A.txt,"Code of Criminal Procedure, 1898",29A,[Omitted,2
crpc_section_29B.txt,"Code of Criminal Procedure, 1898",29B,Jurisdiction in the case of Juveniles,7
crpc_section_30.txt,"Code of Criminal Procedure, 1898",30,Offences not punishable with death,16
crpc_section_31.txt,"Code of Criminal Procedure, 1898",31,Sentences which High Courts and Sessions Judges may pass,10
crpc_section_32.txt,"Code of Criminal Procedure, 1898",32,Sentences which Magistrates may pass,6
crpc_section_33.txt,"Code of Criminal Procedure, 1898",33,Power of Magistrates to sentence to imprisonment in default of fine,17
crpc_section_34.txt,"Code of Criminal Procedure, 1898",34,Higher powers of certain District Magistrates,7
crpc_section_34A.txt,"Code of Criminal Procedure, 1898",34A,[Omitted,2
crpc_section_35.txt,"Code of Criminal Procedure, 1898",35,Sentence in case of conviction of several offences at one trial,20
crpc_section_36.txt,"Code of Criminal Procedure, 1898",36,Ordinary powers of Magistrates,5
crpc_section_37.txt,"Code of Criminal Procedure, 1898",37,Additional powers conferrable on Magistrates,6
crpc_section_38.txt,"Code of Criminal Procedure, 1898",38,Control of District Magistrates investing power,13
crpc_section_39.txt,"Code of Criminal Procedure, 1898",39,Mode of conferring powers,5
crpc_section_40.txt,"Code of Criminal Procedure, 1898",40,Powers of officers appointed,5
crpc_section_41.txt,"Code of Criminal Procedure, 1898",41,Powers may be cancelled,36
crpc_section_43.txt,"Code of Criminal Procedure, 1898",43,"Aid to person, other than police­officer, executing warrant",9
crpc_section_44.txt,"Code of Criminal Procedure, 1898",44,Public to give information of certain offences,8
crpc_section_45.txt,"Code of Criminal Procedure, 1898",45,"Village­headmen, accountants, landholders and others bound to report certain",37
crpc_section_46.txt,"Code of Criminal Procedure, 1898",46,Arrest how made,8
crpc_section_47.txt,"Code of Criminal Procedure, 1898",47,Search of place entered by person sought to be arrested,11
crpc_section_48.txt,"Code of Criminal Procedure, 1898",48,Procedure where ingress not obtainable,9
crpc_section_49.txt,"Code of Criminal Procedure, 1898",49,Power to break open doors and windows for purposes of liberation,12
crpc_section_50.txt,"Code of Criminal Procedure, 1898",50,No unnecessary restraint,4
crpc_section_51.txt,"Code of Criminal Procedure, 1898",51,Search of arrested persons,5
crpc_section_52.txt,"Code of Criminal Procedure, 1898",52,Mode of searching women,5
