filename,act_name,section_article_number,word_count
constitution_article_8.txt,Constitution of Pakistan,8,323
constitution_article_9.txt,Constitution of Pakistan,9,18
constitution_article_9a.txt,Constitution of Pakistan,9A,17
constitution_article_10.txt,Constitution of Pakistan,10,747
constitution_article_10a.txt,Constitution of Pakistan,10A,33
constitution_article_11.txt,Constitution of Pakistan,11,110
constitution_article_12.txt,Constitution of Pakistan,12,110
constitution_article_13.txt,Constitution of Pakistan,13,39
constitution_article_14.txt,Constitution of Pakistan,14,37
constitution_article_15.txt,Constitution of Pakistan,15,42
constitution_article_16.txt,Constitution of Pakistan,16,30
constitution_article_17.txt,Constitution of Pakistan,17,155
constitution_article_18.txt,Constitution of Pakistan,18,115
constitution_article_19.txt,Constitution of Pakistan,19,77
constitution_article_19a.txt,Constitution of Pakistan,19A,30
constitution_article_20.txt,Constitution of Pakistan,20,52
constitution_article_21.txt,Constitution of Pakistan,21,40
constitution_article_22.txt,Constitution of Pakistan,22,165
constitution_article_23.txt,Constitution of Pakistan,23,38
constitution_article_24.txt,Constitution of Pakistan,24,356
constitution_article_25.txt,Constitution of Pakistan,25,52
constitution_article_25a.txt,Constitution of Pakistan,25A,32
constitution_article_26.txt,Constitution of Pakistan,26,67
constitution_article_27.txt,Constitution of Pakistan,27,210
constitution_article_28.txt,Constitution of Pakistan,28,41
